DimDateID,Date,Day,MONTH,QUARTER,YEAR,LoadTimeStamp
20040324,2004-03-24,24,3,1,2004,0000000000000DDF
20040325,2004-03-25,25,3,1,2004,0000000000000DE0
20040326,2004-03-26,26,3,1,2004,0000000000000DE1
20040327,2004-03-27,27,3,1,2004,0000000000000DE2
20040328,2004-03-28,28,3,1,2004,0000000000000DE3
20040329,2004-03-29,29,3,1,2004,0000000000000DE4
20040330,2004-03-30,30,3,1,2004,0000000000000DE5
20040331,2004-03-31,31,3,1,2004,0000000000000DE6
20040401,2004-04-01,1,4,2,2004,0000000000000DE7
20040402,2004-04-02,2,4,2,2004,0000000000000DE8
20040403,2004-04-03,3,4,2,2004,0000000000000DE9
20040404,2004-04-04,4,4,2,2004,0000000000000DEA
20040405,2004-04-05,5,4,2,2004,0000000000000DEB
20040406,2004-04-06,6,4,2,2004,0000000000000DEC
20040407,2004-04-07,7,4,2,2004,0000000000000DED
20040408,2004-04-08,8,4,2,2004,0000000000000DEE
20040409,2004-04-09,9,4,2,2004,0000000000000DEF
20040410,2004-04-10,10,4,2,2004,0000000000000DF0
20040411,2004-04-11,11,4,2,2004,0000000000000DF1
20040412,2004-04-12,12,4,2,2004,0000000000000DF2
20040413,2004-04-13,13,4,2,2004,0000000000000DF3
20040414,2004-04-14,14,4,2,2004,0000000000000DF4
20040415,2004-04-15,15,4,2,2004,0000000000000DF5
20040416,2004-04-16,16,4,2,2004,0000000000000DF6
20040417,2004-04-17,17,4,2,2004,0000000000000DF7
20040418,2004-04-18,18,4,2,2004,0000000000000DF8
20040419,2004-04-19,19,4,2,2004,0000000000000DF9
20040420,2004-04-20,20,4,2,2004,0000000000000DFA
20040421,2004-04-21,21,4,2,2004,0000000000000DFB
20040422,2004-04-22,22,4,2,2004,0000000000000DFC
20040423,2004-04-23,23,4,2,2004,0000000000000DFD
20040424,2004-04-24,24,4,2,2004,0000000000000DFE
20040425,2004-04-25,25,4,2,2004,0000000000000DFF
20040426,2004-04-26,26,4,2,2004,0000000000000E01
20040427,2004-04-27,27,4,2,2004,0000000000000E02
20040428,2004-04-28,28,4,2,2004,0000000000000E03
20040429,2004-04-29,29,4,2,2004,0000000000000E04
20040430,2004-04-30,30,4,2,2004,0000000000000E05
20040501,2004-05-01,1,5,2,2004,0000000000000E06
20040502,2004-05-02,2,5,2,2004,0000000000000E07
20040503,2004-05-03,3,5,2,2004,0000000000000E08
20040504,2004-05-04,4,5,2,2004,0000000000000E09
20040505,2004-05-05,5,5,2,2004,0000000000000E0A
20040506,2004-05-06,6,5,2,2004,0000000000000E0B
20040507,2004-05-07,7,5,2,2004,0000000000000E0C
20040508,2004-05-08,8,5,2,2004,0000000000000E0D
20040509,2004-05-09,9,5,2,2004,0000000000000E0E
20040510,2004-05-10,10,5,2,2004,0000000000000E0F
20040511,2004-05-11,11,5,2,2004,0000000000000E10
20040512,2004-05-12,12,5,2,2004,0000000000000E11
20040513,2004-05-13,13,5,2,2004,0000000000000E12
20040514,2004-05-14,14,5,2,2004,0000000000000E13
20040515,2004-05-15,15,5,2,2004,0000000000000E14
20040516,2004-05-16,16,5,2,2004,0000000000000E15
20040517,2004-05-17,17,5,2,2004,0000000000000E16
20040518,2004-05-18,18,5,2,2004,0000000000000E17
20040519,2004-05-19,19,5,2,2004,0000000000000E18
20040520,2004-05-20,20,5,2,2004,0000000000000E19
20040521,2004-05-21,21,5,2,2004,0000000000000E1A
20040522,2004-05-22,22,5,2,2004,0000000000000E1B
20040523,2004-05-23,23,5,2,2004,0000000000000E1C
20040524,2004-05-24,24,5,2,2004,0000000000000E1D
20040525,2004-05-25,25,5,2,2004,0000000000000E1E
20040526,2004-05-26,26,5,2,2004,0000000000000E1F
20040527,2004-05-27,27,5,2,2004,0000000000000E20
20040528,2004-05-28,28,5,2,2004,0000000000000E21
20040529,2004-05-29,29,5,2,2004,0000000000000E22
20040530,2004-05-30,30,5,2,2004,0000000000000E23
20040531,2004-05-31,31,5,2,2004,0000000000000E24
20040601,2004-06-01,1,6,2,2004,0000000000000E25
20040602,2004-06-02,2,6,2,2004,0000000000000E26
20040603,2004-06-03,3,6,2,2004,0000000000000E27
20040604,2004-06-04,4,6,2,2004,0000000000000E28
20040605,2004-06-05,5,6,2,2004,0000000000000E29
20040606,2004-06-06,6,6,2,2004,0000000000000E2A
20040607,2004-06-07,7,6,2,2004,0000000000000E2B
20040608,2004-06-08,8,6,2,2004,0000000000000E2C
20040609,2004-06-09,9,6,2,2004,0000000000000E2D
20040610,2004-06-10,10,6,2,2004,0000000000000E2E
20040611,2004-06-11,11,6,2,2004,0000000000000E2F
20040612,2004-06-12,12,6,2,2004,0000000000000E30
20040613,2004-06-13,13,6,2,2004,0000000000000E31
20040614,2004-06-14,14,6,2,2004,0000000000000E32
20040615,2004-06-15,15,6,2,2004,0000000000000E33
20040616,2004-06-16,16,6,2,2004,0000000000000E34
20040617,2004-06-17,17,6,2,2004,0000000000000E35
20040618,2004-06-18,18,6,2,2004,0000000000000E36
20040619,2004-06-19,19,6,2,2004,0000000000000E37
20040620,2004-06-20,20,6,2,2004,0000000000000E38
20040621,2004-06-21,21,6,2,2004,0000000000000E39
20040622,2004-06-22,22,6,2,2004,0000000000000E3A
20040623,2004-06-23,23,6,2,2004,0000000000000E3B
20040624,2004-06-24,24,6,2,2004,0000000000000E3C
20040625,2004-06-25,25,6,2,2004,0000000000000E3D
20040626,2004-06-26,26,6,2,2004,0000000000000E3E
20040627,2004-06-27,27,6,2,2004,0000000000000E3F
20040628,2004-06-28,28,6,2,2004,0000000000000E40
20040629,2004-06-29,29,6,2,2004,0000000000000E41
20040630,2004-06-30,30,6,2,2004,0000000000000E42
20040701,2004-07-01,1,7,3,2004,0000000000000E43
20040702,2004-07-02,2,7,3,2004,0000000000000E44
20040703,2004-07-03,3,7,3,2004,0000000000000E45
20040704,2004-07-04,4,7,3,2004,0000000000000E46
20040705,2004-07-05,5,7,3,2004,0000000000000E47
20040706,2004-07-06,6,7,3,2004,0000000000000E48
20040707,2004-07-07,7,7,3,2004,0000000000000E49
20040708,2004-07-08,8,7,3,2004,0000000000000E4A
20040709,2004-07-09,9,7,3,2004,0000000000000E4B
20040710,2004-07-10,10,7,3,2004,0000000000000E4C
20040711,2004-07-11,11,7,3,2004,0000000000000E4D
20040712,2004-07-12,12,7,3,2004,0000000000000E4E
20040713,2004-07-13,13,7,3,2004,0000000000000E4F
20040714,2004-07-14,14,7,3,2004,0000000000000E50
20040715,2004-07-15,15,7,3,2004,0000000000000E51
20040716,2004-07-16,16,7,3,2004,0000000000000E52
20040717,2004-07-17,17,7,3,2004,0000000000000E53
20040718,2004-07-18,18,7,3,2004,0000000000000E54
20040719,2004-07-19,19,7,3,2004,0000000000000E55
20040720,2004-07-20,20,7,3,2004,0000000000000E56
20040721,2004-07-21,21,7,3,2004,0000000000000E57
20040722,2004-07-22,22,7,3,2004,0000000000000E58
20040723,2004-07-23,23,7,3,2004,0000000000000E59
20040724,2004-07-24,24,7,3,2004,0000000000000E5A
20040725,2004-07-25,25,7,3,2004,0000000000000E5B
20040726,2004-07-26,26,7,3,2004,0000000000000E5C
20040727,2004-07-27,27,7,3,2004,0000000000000E5D
20040728,2004-07-28,28,7,3,2004,0000000000000E5E
20040729,2004-07-29,29,7,3,2004,0000000000000E5F
