DimProductID;ProductID;Name;ProductNumber;Color;SafetyStockLevel;ReorderPoint;StandardCost;ListPrice;Size;Weight;DaysToManufacture;ProductLine;Class;Style;SRC_ID_ProductSubcategory;ProductSubcategoryName;SRC_ID_ProductModel;ProductModelName;SRC_ID_ProductCategory;ProductCategoryName;SellStartDate;SellEndDate;DiscontinueDate
1;770;Road-650 Black, 52;;Black;100;75;486.7066;782.99;52;19.42;4;R ;L ;U ;2;Road Bikes;30;Road-650;1;Bikes;2011-05-31;2013-05-29;
2;751;Road-150 Red, 48;;Red;100;75;2171.2942;3578.27;48;14.13;4;R ;H ;U ;2;Road Bikes;25;Road-150;1;Bikes;2011-05-31;2012-05-29;
3;790;Road-250 Red, 48;;Red;100;75;1518.7864;2443.35;48;15.13;4;R ;H ;U ;2;Road Bikes;26;Road-250;1;Bikes;2012-05-30;2013-05-29;
4;789;Road-250 Red, 44;;Red;100;75;1518.7864;2443.35;44;14.77;4;R ;H ;U ;2;Road Bikes;26;Road-250;1;Bikes;2012-05-30;2013-05-29;
5;796;Road-250 Black, 58;;Black;100;75;1554.9479;2443.35;58;15.68;4;R ;H ;U ;2;Road Bikes;26;Road-250;1;Bikes;2012-05-30;;
6;795;Road-250 Black, 52;;Black;100;75;1554.9479;2443.35;52;15.42;4;R ;H ;U ;2;Road Bikes;26;Road-250;1;Bikes;2012-05-30;;
7;794;Road-250 Black, 48;;Black;100;75;1554.9479;2443.35;48;15.13;4;R ;H ;U ;2;Road Bikes;26;Road-250;1;Bikes;2012-05-30;;
8;793;Road-250 Black, 44;;Black;100;75;1554.9479;2443.35;44;14.77;4;R ;H ;U ;2;Road Bikes;26;Road-250;1;Bikes;2012-05-30;;
9;791;Road-250 Red, 52;;Red;100;75;1518.7864;2443.35;52;15.42;4;R ;H ;U ;2;Road Bikes;26;Road-250;1;Bikes;2012-05-30;2013-05-29;
10;792;Road-250 Red, 58;;Red;100;75;1554.9479;2443.35;58;15.79;4;R ;H ;U ;2;Road Bikes;26;Road-250;1;Bikes;2012-05-30;;
11;975;Road-350-W Yellow, 44;;Yellow;100;75;1082.51;1700.99;44;16.13;4;R ;M ;W ;2;Road Bikes;27;Road-350-W;1;Bikes;2013-05-30;;
12;973;Road-350-W Yellow, 40;;Yellow;100;75;1082.51;1700.99;40;15.35;4;R ;M ;W ;2;Road Bikes;27;Road-350-W;1;Bikes;2013-05-30;;
13;976;Road-350-W Yellow, 48;;Yellow;100;75;1082.51;1700.99;48;16.42;4;R ;M ;W ;2;Road Bikes;27;Road-350-W;1;Bikes;2013-05-30;;
14;974;Road-350-W Yellow, 42;;Yellow;100;75;1082.51;1700.99;42;15.77;4;R ;M ;W ;2;Road Bikes;27;Road-350-W;1;Bikes;2013-05-30;;
15;755;Road-450 Red, 60;;Red;100;75;884.7083;1457.99;60;17.90;4;R ;M ;U ;2;Road Bikes;28;Road-450;1;Bikes;2011-05-31;2012-05-29;
16;757;Road-450 Red, 48;;Red;100;75;884.7083;1457.99;48;17.13;4;R ;M ;U ;2;Road Bikes;28;Road-450;1;Bikes;2011-05-31;2012-05-29;
17;754;Road-450 Red, 58;;Red;100;75;884.7083;1457.99;58;17.79;4;R ;M ;U ;2;Road Bikes;28;Road-450;1;Bikes;2011-05-31;2012-05-29;
18;756;Road-450 Red, 44;;Red;100;75;884.7083;1457.99;44;16.77;4;R ;M ;U ;2;Road Bikes;28;Road-450;1;Bikes;2011-05-31;2012-05-29;
19;750;Road-150 Red, 44;;Red;100;75;2171.2942;3578.27;44;13.77;4;R ;H ;U ;2;Road Bikes;25;Road-150;1;Bikes;2011-05-31;2012-05-29;
20;749;Road-150 Red, 62;;Red;100;75;2171.2942;3578.27;62;15.00;4;R ;H ;U ;2;Road Bikes;25;Road-150;1;Bikes;2011-05-31;2012-05-29;
21;752;Road-150 Red, 52;;Red;100;75;2171.2942;3578.27;52;14.42;4;R ;H ;U ;2;Road Bikes;25;Road-150;1;Bikes;2011-05-31;2012-05-29;
22;753;Road-150 Red, 56;;Red;100;75;2171.2942;3578.27;56;14.68;4;R ;H ;U ;2;Road Bikes;25;Road-150;1;Bikes;2011-05-31;2012-05-29;
